Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Loyalty,Age,Children,Spent,TotalAcceptedCmp,MaritalStatus,Family_Size
Graduate,46344.0,38,2,1,1,2,5,0,0,75,60,2,27,0,Single,3
Graduate,71613.0,26,1,8,2,10,4,0,0,286,49,0,776,0,Married,2
Graduate,26646.0,26,2,2,0,4,6,0,0,113,30,1,53,0,Married,3
Postgraduate,58293.0,94,5,5,3,6,5,0,0,67,33,1,422,0,Married,3
Postgraduate,62513.0,16,2,6,4,10,6,0,0,277,47,1,716,0,Married,3
Graduate,55635.0,34,4,7,3,7,6,0,0,559,43,1,590,0,Single,2
Postgraduate,33454.0,32,2,4,0,4,8,0,0,385,29,1,169,0,Married,3
Postgraduate,30351.0,19,1,3,0,2,9,0,1,369,40,1,46,0,Married,3
Graduate,52376.79960610536,11,1,1,0,2,7,0,0,215,31,1,19,0,Married,3
Undergraduate,7500.0,59,1,2,0,3,8,0,0,534,38,0,61,0,Married,2
Graduate,63033.0,82,1,3,4,8,2,0,0,144,55,0,1102,0,Single,1
Postgraduate,59354.0,53,3,6,1,5,6,0,0,173,62,2,310,0,Single,3
Graduate,17323.0,38,1,1,0,3,8,0,0,589,27,0,46,0,Married,2
Postgraduate,82800.0,23,1,7,6,12,3,0,1,559,68,0,1315,2,Single,1
Graduate,41850.0,51,3,3,0,3,8,0,0,501,34,2,96,0,Married,4
Graduate,37760.0,20,2,4,1,6,7,0,0,647,68,0,317,0,Married,2
Postgraduate,76995.0,91,2,11,4,9,5,0,0,367,65,1,1782,1,Married,3
Undergraduate,33812.0,86,2,2,1,3,6,0,0,517,29,1,133,0,Single,2
Graduate,37040.0,41,1,4,2,5,8,0,0,649,32,0,316,0,Married,2
Postgraduate,58607.0,63,3,2,3,9,8,0,0,490,65,1,972,1,Married,3
Postgraduate,65324.0,0,3,6,2,9,4,0,0,169,60,1,544,0,Married,3
Graduate,18589.0,89,2,2,1,3,7,0,0,454,45,0,75,0,Single,1
Graduate,53359.0,4,4,5,1,4,7,0,0,394,38,2,257,0,Married,4
Graduate,38360.0,26,2,2,1,4,3,0,0,368,25,1,131,0,Married,3
Postgraduate,84618.0,96,1,6,9,10,2,0,0,123,49,0,1672,1,Married,2
Postgraduate,10979.0,34,2,3,0,3,5,0,0,4,25,0,30,0,Single,1
Postgraduate,38620.0,56,1,2,5,3,3,0,0,358,51,0,318,0,Married,2
Graduate,40548.0,31,2,2,1,4,5,0,0,596,44,1,120,1,Married,3
Postgraduate,68657.0,4,1,3,5,9,7,0,0,490,68,0,1196,0,Married,2
Postgraduate,49389.0,55,1,2,0,3,7,0,0,249,63,2,65,0,Single,3
Postgraduate,67353.0,37,5,5,6,12,2,0,0,143,44,1,913,0,Married,3
Undergraduate,23718.0,76,3,3,1,2,7,0,0,224,38,1,81,0,Married,3
Graduate,42429.0,99,2,1,1,3,5,0,0,39,41,1,67,0,Single,2
Graduate,80011.0,3,2,8,6,5,4,0,0,423,34,1,1395,0,Married,3
Postgraduate,20559.0,88,2,2,0,3,8,0,0,386,29,1,53,0,Married,3
Graduate,21994.0,4,1,0,0,3,5,0,0,548,57,1,22,0,Married,3
Postgraduate,52376.79960610536,80,1,1,3,4,2,0,0,156,55,0,186,0,Single,1
Postgraduate,7500.0,19,3,2,0,3,5,0,0,251,39,1,31,0,Married,3
Graduate,79941.0,72,1,2,4,9,1,0,0,-71,38,0,984,0,Single,1
Undergraduate,7500.0,24,3,3,1,3,9,0,1,573,18,0,122,0,Married,2
Graduate,41728.0,92,1,2,0,2,10,0,0,309,46,1,55,0,Married,3
Graduate,52376.79960610536,96,3,2,1,4,6,0,0,83,63,3,124,0,Single,4
Graduate,65486.0,29,1,4,2,10,2,0,0,19,57,1,507,0,Single,2
Postgraduate,79143.0,2,1,6,9,13,3,0,0,685,50,0,1693,0,Married,2
Graduate,35790.0,54,2,2,0,3,7,0,0,489,37,1,72,0,Single,2
Graduate,82582.0,54,1,4,9,7,1,0,1,-32,37,0,1617,2,Single,1
Graduate,70287.0,30,1,5,5,10,3,0,1,423,48,0,1093,0,Single,1
Graduate,27938.0,31,1,1,0,4,3,0,0,31,26,1,29,0,Single,2
Graduate,52376.79960610536,57,2,2,0,3,6,0,0,320,32,1,46,0,Single,2
Postgraduate,55954.0,63,3,8,2,6,7,0,0,55,46,1,518,0,Married,3
Postgraduate,75777.0,12,1,3,6,11,1,0,1,348,32,0,1438,2,Single,1
Graduate,66653.0,18,4,4,2,12,3,0,0,642,39,2,612,0,Married,4
Graduate,61823.0,26,4,8,2,10,7,0,0,470,62,1,884,0,Single,2
Postgraduate,67680.0,8,1,7,3,8,5,0,0,375,63,1,606,0,Single,2
Graduate,70666.0,29,1,7,4,4,4,0,0,176,66,0,1076,0,Married,2
Graduate,25721.0,75,1,1,1,2,7,0,1,329,43,1,34,0,Married,3
Graduate,32474.0,0,1,1,0,2,7,0,0,49,47,2,11,0,Married,4
Graduate,69096.0,4,1,5,2,10,4,0,0,271,56,1,653,0,Married,3
Postgraduate,66991.0,1,3,4,8,6,3,0,0,655,60,0,1253,0,Married,2
Undergraduate,52376.79960610536,25,3,3,0,3,8,0,0,628,41,1,109,0,Married,3
Graduate,65031.0,29,4,10,3,13,7,0,0,440,55,1,863,0,Married,3
Postgraduate,60631.0,88,5,9,2,8,7,0,0,362,39,2,661,1,Married,4
Graduate,28332.0,58,1,2,1,4,2,0,0,2,62,0,65,0,Married,2
Graduate,40246.0,68,1,1,0,2,6,0,0,489,37,1,13,0,Single,2
Postgraduate,75251.0,34,1,7,6,5,5,0,1,637,42,0,1890,0,Married,2
Graduate,75825.0,40,0,5,8,9,4,0,1,585,38,0,2209,1,Single,1
Undergraduate,26326.0,12,1,0,0,3,3,1,0,286,38,0,18,0,Married,2
Graduate,56046.0,9,2,10,1,8,8,0,1,534,49,0,692,1,Married,2
Graduate,29760.0,87,4,3,1,4,8,0,0,582,29,1,165,0,Single,2
Graduate,26304.0,5,1,1,0,2,7,0,0,366,45,1,16,0,Married,3
Undergraduate,23559.0,87,3,3,0,3,7,0,0,274,41,1,79,0,Married,3
Graduate,29440.0,95,2,1,0,4,7,0,0,227,54,2,56,0,Married,4
Postgraduate,36138.0,48,5,3,1,4,7,0,0,300,44,2,151,1,Married,4
Graduate,50388.0,3,4,6,1,6,7,0,1,29,57,1,372,2,Single,2
Graduate,79593.0,70,1,5,6,7,2,0,0,-22,41,0,1366,1,Married,2
Graduate,54178.0,79,1,2,2,5,2,0,0,80,47,1,194,0,Married,3
Graduate,52376.79960610536,45,1,1,0,2,7,0,0,-12,57,2,18,0,Single,3
Postgraduate,52376.79960610536,87,1,2,4,8,1,0,0,131,41,0,985,0,Married,2
Postgraduate,42394.0,69,1,1,0,3,7,0,0,29,42,1,32,0,Single,2
Postgraduate,23626.0,84,3,3,1,3,5,0,0,-48,44,1,43,0,Married,3
Graduate,30096.0,30,1,2,0,3,6,0,0,8,31,1,45,0,Married,3
Graduate,47916.0,72,5,7,4,6,6,0,0,512,54,1,606,1,Single,2
Graduate,51813.0,37,2,2,0,3,7,0,0,407,42,2,63,0,Single,3
Undergraduate,78497.0,44,1,5,7,12,2,0,0,166,63,0,978,1,Married,2
Postgraduate,50150.0,32,2,5,2,7,5,0,0,342,31,0,410,0,Married,2
Undergraduate,47823.0,0,2,2,0,3,8,0,0,341,54,1,72,0,Single,2
Postgraduate,34554.0,43,2,2,0,3,6,0,0,48,55,1,55,0,Single,2
Graduate,85693.0,59,2,9,5,11,5,0,0,376,35,1,1169,0,Married,3
Postgraduate,65846.0,68,1,6,3,6,4,0,0,340,69,0,1120,0,Married,2
Undergraduate,24594.0,94,1,1,0,3,5,0,0,107,35,1,29,0,Married,3
Graduate,49096.0,15,4,4,1,4,7,0,0,263,50,2,187,0,Married,4
Graduate,52413.0,56,4,6,4,12,6,0,0,456,45,2,910,0,Married,4
Graduate,38557.0,17,2,3,1,3,7,0,0,540,36,1,145,0,Single,2
Postgraduate,89058.0,18,1,5,4,4,2,0,0,551,54,0,850,0,Married,2
Graduate,77298.0,46,1,6,6,11,3,0,0,193,35,1,969,0,Married,3
Postgraduate,68126.0,40,1,7,4,5,9,0,1,556,23,0,1820,1,Single,1
Postgraduate,57288.0,27,3,8,1,8,6,0,0,-23,51,1,608,1,Married,3
Graduate,86037.0,95,1,6,7,11,3,0,1,448,23,0,730,2,Single,1
Postgraduate,43974.0,19,5,6,4,6,7,0,0,545,34,1,551,0,Married,3
Graduate,50785.0,27,2,2,1,3,6,0,0,265,52,2,114,0,Single,3
Graduate,90765.0,25,0,4,6,5,1,0,0,131,44,0,1724,2,Married,2
Undergraduate,36550.0,74,5,9,1,5,9,0,0,421,36,1,577,0,Married,3
Undergraduate,30753.0,85,2,1,1,3,5,0,0,268,47,2,81,0,Married,4
Graduate,21918.0,37,2,2,0,3,6,0,0,190,45,1,33,0,Married,3
Postgraduate,56129.0,65,4,6,2,10,4,0,0,309,61,1,660,0,Married,3
Postgraduate,32557.0,13,3,2,1,3,5,0,1,112,47,1,80,0,Single,2
